id,nombre,longitud,fade,tipos_de_pelo,familia_actual,tiene_foto
fade-bajo-textura,Fade bajo con textura arriba,,bajo,liso/ondulado/rizado,buzz_corto_uniforme,si
buzz-cut,Buzz cut,,ninguno,liso/ondulado/rizado/afro,buzz_corto_uniforme,si
clasico-raya,Corte clásico con raya lateral,,medio,liso/ondulado,clasico_raya_lateral,si
undercut-flequillo,Undercut con flequillo texturizado,,alto,liso/ondulado/rizado,fade_undercut_textura,si
esq2023-001-rastas-en-coleta-alta,Rastas en coleta alta,largo,ninguno,rizado/afro,rastas_trenzas_locs,si
esq2023-002-mullet-clasico-de-los-80-con-pelo-rizado,Mullet clásico de los 80 con pelo rizado,medio,bajo,rizado,mullet,si
esq2023-003-peinado-con-mechas-con-textura,Peinado con mechas con textura,medio,ninguno,liso/ondulado/rizado,corte_texturizado_general,si
esq2023-004-corte-tazon-con-la-parte-trasera-larga,Corte tazón con la parte trasera larga,medio,ninguno,liso/ondulado,corte_tazon_bowl,no
esq2023-005-melena-larga-con-mechas-delanteras-escalonadas,Melena larga con mechas delanteras escalonadas,largo,ninguno,liso/ondulado,melena_larga,si
esq2023-006-melena-corta-pegada-en-la-parte-superior-de-la-cabeza-y-con,Melena corta pegada en la parte superior de la cabeza y con raya en medio,corto,ninguno,liso/ondulado,clasico_raya_lateral,si
esq2023-007-corte-mullet-con-flequillo-tazon-y-patilla-larga,Corte mullet con flequillo tazón y patilla larga,medio,bajo,liso/ondulado/rizado,mullet,si
esq2023-008-rastas-peinadas-en-mono-alto,Rastas peinadas en moño alto,largo,ninguno,rizado/afro,rastas_trenzas_locs,si
esq2023-009-corte-tazon-con-pelo-rizado,Corte tazón con pelo rizado,corto,ninguno,rizado,corte_tazon_bowl,no
esq2023-010-melena-corta-peinada-hacia-detras,Melena corta peinada hacia detrás,corto,ninguno,liso/ondulado,buzz_corto_uniforme,si
esq2023-011-peinado-hacia-delante-con-patilla-corta,Peinado hacia delante con patilla corta,corto,ninguno,liso/ondulado/rizado,buzz_corto_uniforme,si
esq2023-012-flequillo-corto-con-textura-y-laterales-rapados,Flequillo corto con textura y laterales rapados,corto,alto,liso/ondulado/rizado,fade_undercut_textura,si
esq2023-013-corte-de-pelo-semilargo-con-rastas,Corte de pelo semilargo con rastas,medio,ninguno,rizado/afro,rastas_trenzas_locs,si
esq2023-014-melena-corta-lisa-con-raya-en-medio,Melena corta lisa con raya en medio,corto,ninguno,liso,clasico_raya_lateral,si
esq2023-015-melena-degradada-con-raya-en-medio,Melena degradada con raya en medio,medio,ninguno,liso/ondulado,corte_texturizado_general,si
esq2023-016-corte-de-pelo-tazon-con-textura,Corte de pelo tazón con textura,corto,ninguno,liso/ondulado/rizado,corte_tazon_bowl,no
esq2023-017-flequillo-corto-casi-a-mitad-de-frente,Flequillo corto casi a mitad de frente,corto,ninguno,liso/ondulado,buzz_corto_uniforme,si
esq2023-018-corte-degradado-con-pelo-rizado,Corte degradado con pelo rizado,corto,alto,rizado,fade_undercut_textura,si
esq2023-019-peinado-hacia-atras-generando-algo-de-volumen-en-la-zona-sup,Peinado hacia atrás generando algo de volumen en la zona superior,medio,ninguno,liso/ondulado,corte_texturizado_general,si
esq2023-020-pelo-engominado-con-raya-a-un-lado,Pelo engominado con raya a un lado,corto,ninguno,liso,clasico_raya_lateral,si
esq2023-021-melena-peinada-con-efecto-mojado,Melena peinada con efecto mojado,largo,ninguno,liso/ondulado,melena_larga,si
esq2023-022-flequillo-corto-cortado-con-las-puntas-desfiladas,Flequillo corto cortado con las puntas desfiladas,corto,ninguno,liso/ondulado,buzz_corto_uniforme,si
esq2023-023-flequillo-semilargo-peinado-hacia-delante,Flequillo semilargo peinado hacia delante,medio,ninguno,liso/ondulado,fade_undercut_textura,si
esq2023-024-tupe-mini-con-raya-al-lado,Tupé mini con raya al lado,corto,bajo,liso/ondulado,tupe_pompadour_clasico,si
esq2023-025-peinado-de-efecto-recien-levantado,"Peinado de efecto ""recién levantado""",corto,ninguno,liso/ondulado/rizado,buzz_corto_uniforme,si
esq2023-026-tupe-extra-largo-de-lado,Tupé extra largo de lado,medio,medio,liso/ondulado,tupe_pompadour_clasico,si
esq2023-027-peinado-con-textura-efecto-nido,Peinado con textura efecto nido,corto,ninguno,liso/ondulado/rizado,buzz_corto_uniforme,si
esq2023-028-corte-desfilado-que-enmarca-el-rostro,Corte desfilado que enmarca el rostro,medio,ninguno,liso/ondulado,corte_texturizado_general,si
